garden	basement	elevator	balcony	floor (storey)	nmbr of rooms	construction year	unemployment	Anteil Gruenenwaehler	price
FALSE	TRUE	FALSE	TRUE	-1	2	1966	1	2	0
FALSE	FALSE	TRUE	FALSE	-1	1	2021	3	3	1
FALSE	TRUE	TRUE	TRUE	2	2.5	1970	2	1	0
FALSE	FALSE	FALSE	TRUE	2	1	2022	3	1	1
TRUE	TRUE	FALSE	FALSE	-1	3	1991	1	2	0
FALSE	TRUE	TRUE	TRUE	4	1	2021	2	3	1
FALSE	TRUE	FALSE	TRUE	1	3	1968	1	1	0
TRUE	FALSE	TRUE	TRUE	1	1	1955	1	2	1
TRUE	FALSE	TRUE	TRUE	2	1	1955	1	2	1
FALSE	FALSE	TRUE	FALSE	4	1	2021	3	3	1
FALSE	TRUE	FALSE	FALSE	-1	2.5	1900	1	3	0
FALSE	TRUE	FALSE	FALSE	-1	2.5	1900	1	3	0
FALSE	TRUE	FALSE	FALSE	-1	3	1950	2	2	0
FALSE	FALSE	FALSE	FALSE	1	2	1900	3	3	1
FALSE	TRUE	FALSE	FALSE	2	2	1993	2	2	0
FALSE	TRUE	FALSE	TRUE	-1	2	1970	1	2	0
FALSE	FALSE	FALSE	FALSE	3	2	2022	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	3	1957	2	1	0
FALSE	FALSE	FALSE	FALSE	5	2	1949	2	3	1
FALSE	TRUE	FALSE	TRUE	1	2.5	1964	2	1	0
FALSE	TRUE	FALSE	FALSE	1	2	1952	2	3	1
FALSE	TRUE	FALSE	FALSE	-1	3	1930	2	1	0
FALSE	TRUE	TRUE	FALSE	2	1	2023	2	3	1
FALSE	FALSE	FALSE	FALSE	-1	2	1900	1	3	0
TRUE	TRUE	FALSE	TRUE	1	3	1976	2	1	0
TRUE	TRUE	FALSE	TRUE	2	2	1976	2	1	0
FALSE	TRUE	FALSE	TRUE	3	2	1951	3	1	0
FALSE	FALSE	FALSE	TRUE	4	2.5	1954	2	3	0
TRUE	TRUE	FALSE	FALSE	2	3	1928	2	2	0
FALSE	FALSE	FALSE	FALSE	-1	3	1952	2	2	0
FALSE	TRUE	FALSE	FALSE	-1	2	1900	2	3	0
FALSE	TRUE	FALSE	TRUE	3	3	1965	3	1	0
FALSE	FALSE	FALSE	TRUE	12	1.5	1971	3	3	1
FALSE	FALSE	TRUE	FALSE	-1	2	2023	3	1	0
FALSE	TRUE	TRUE	TRUE	1	2	2023	3	1	0
FALSE	FALSE	TRUE	FALSE	-1	2	2022	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	3	1957	3	1	0
FALSE	TRUE	TRUE	TRUE	-1	2	2021	2	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1972	3	3	1
FALSE	TRUE	FALSE	TRUE	-1	3	1973	2	1	0
FALSE	TRUE	FALSE	FALSE	3	2	1984	2	1	0
FALSE	FALSE	TRUE	FALSE	1	2	2023	3	1	1
FALSE	TRUE	TRUE	TRUE	-1	2	2000	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1952	2	3	0
FALSE	FALSE	FALSE	TRUE	2	1	1960	2	3	1
FALSE	FALSE	FALSE	TRUE	2	1	1960	2	3	1
FALSE	TRUE	TRUE	FALSE	-1	1	2023	2	3	1
FALSE	TRUE	FALSE	FALSE	-1	3	2022	2	1	1
FALSE	TRUE	FALSE	TRUE	-1	3	1977	2	2	0
FALSE	FALSE	FALSE	TRUE	-1	4	1963	3	1	0
FALSE	TRUE	FALSE	FALSE	-1	2.5	1970	2	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	FALSE	FALSE	1	4	1959	1	2	0
FALSE	FALSE	FALSE	FALSE	-1	2	1994	3	3	1
FALSE	TRUE	FALSE	TRUE	2	2.5	1965	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1976	1	2	0
FALSE	TRUE	FALSE	TRUE	-1	3	1963	1	1	0
FALSE	FALSE	FALSE	TRUE	4	1.5	1990	3	1	0
FALSE	TRUE	FALSE	TRUE	2	2.5	1959	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	3	2002	2	1	0
FALSE	TRUE	FALSE	TRUE	-1	3	1975	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	3	1965	2	2	0
FALSE	TRUE	FALSE	FALSE	-1	3	1967	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	FALSE	FALSE	TRUE	3	2	1900	1	3	1
FALSE	FALSE	TRUE	FALSE	-1	2	2023	3	1	0
TRUE	TRUE	TRUE	TRUE	1	2	2015	3	1	0
FALSE	FALSE	TRUE	FALSE	1	3	1969	3	1	0
FALSE	TRUE	FALSE	TRUE	1	3	1966	1	2	0
TRUE	TRUE	FALSE	FALSE	2	2	1985	2	1	0
FALSE	FALSE	FALSE	TRUE	1	2.5	1993	1	1	0
FALSE	TRUE	FALSE	FALSE	2	2	1955	3	3	1
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	TRUE	TRUE	1	1.5	2021	3	1	0
FALSE	TRUE	FALSE	TRUE	2	2	2020	3	1	1
TRUE	TRUE	FALSE	FALSE	-1	3	1956	2	3	0
FALSE	TRUE	FALSE	TRUE	1	4	1973	1	1	0
FALSE	FALSE	TRUE	FALSE	2	2	2023	3	1	1
FALSE	TRUE	TRUE	TRUE	4	2	1973	3	3	0
FALSE	TRUE	TRUE	FALSE	2	2	2022	3	1	1
FALSE	TRUE	TRUE	FALSE	3	2	2022	3	1	1
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	TRUE	TRUE	5	2	1968	2	1	0
FALSE	FALSE	FALSE	FALSE	4	2	2023	1	2	0
FALSE	FALSE	FALSE	TRUE	1	2	1982	2	1	0
TRUE	TRUE	FALSE	TRUE	-1	3	1970	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	FALSE	TRUE	1	2.5	1957	2	2	0
FALSE	TRUE	TRUE	TRUE	2	1.5	2021	3	1	0
FALSE	FALSE	TRUE	FALSE	2	2	2023	3	1	1
TRUE	TRUE	TRUE	TRUE	5	2	1974	2	3	1
TRUE	FALSE	FALSE	TRUE	1	2	1980	2	1	0
FALSE	TRUE	FALSE	TRUE	3	3	1965	2	1	0
FALSE	TRUE	TRUE	FALSE	4	2	2022	3	1	1
TRUE	TRUE	FALSE	TRUE	1	3	1982	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	2	1973	2	1	0
FALSE	TRUE	TRUE	TRUE	2	1.5	2021	3	1	1
TRUE	TRUE	FALSE	TRUE	1	2	1989	2	1	1
TRUE	FALSE	TRUE	FALSE	-1	2	1988	1	1	1
FALSE	TRUE	TRUE	TRUE	-1	2	2023	2	1	0
FALSE	TRUE	TRUE	FALSE	5	2	2022	3	1	1
FALSE	TRUE	TRUE	TRUE	2	2	1985	3	1	0
FALSE	TRUE	FALSE	FALSE	-1	2	1911	3	2	0
FALSE	TRUE	FALSE	FALSE	-1	4	1974	2	1	0
FALSE	TRUE	TRUE	TRUE	4	2	1980	2	2	0
FALSE	TRUE	FALSE	TRUE	2	3	1979	2	1	0
FALSE	FALSE	FALSE	FALSE	1	2	1938	1	2	1
FALSE	FALSE	FALSE	FALSE	-1	3	1900	1	3	1
FALSE	FALSE	TRUE	FALSE	-1	2	2022	2	1	0
FALSE	FALSE	FALSE	TRUE	1	2.5	1956	2	3	0
FALSE	TRUE	FALSE	TRUE	-1	3	1954	3	3	0
FALSE	TRUE	FALSE	FALSE	-1	4	1980	3	1	0
FALSE	TRUE	TRUE	TRUE	1	3	1969	2	3	0
FALSE	TRUE	TRUE	TRUE	1	3	1969	3	3	0
FALSE	TRUE	TRUE	TRUE	1	3	1969	2	2	0
FALSE	TRUE	TRUE	TRUE	1	3	1969	2	3	0
FALSE	TRUE	TRUE	TRUE	1	3	1969	2	3	0
TRUE	FALSE	TRUE	TRUE	5	2	1955	1	2	1
TRUE	FALSE	FALSE	TRUE	2	3	1957	1	2	0
FALSE	TRUE	FALSE	TRUE	2	2.5	1956	3	3	0
FALSE	TRUE	FALSE	TRUE	-1	3	1969	1	2	0
FALSE	FALSE	FALSE	TRUE	-1	2.5	1967	2	3	0
FALSE	TRUE	FALSE	FALSE	-1	3	1958	1	3	0
TRUE	TRUE	FALSE	FALSE	-1	3	1962	1	1	0
FALSE	TRUE	FALSE	FALSE	2	2	1955	1	3	1
FALSE	TRUE	FALSE	TRUE	1	3	1978	1	2	0
FALSE	FALSE	TRUE	FALSE	3	2	2023	3	1	1
FALSE	FALSE	TRUE	FALSE	3	2	2023	3	1	1
FALSE	TRUE	TRUE	TRUE	-1	2	2023	2	1	0
FALSE	TRUE	TRUE	FALSE	-1	2	2021	1	1	1
TRUE	TRUE	FALSE	TRUE	3	2.5	1979	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	3.5	1971	3	1	0
FALSE	FALSE	FALSE	FALSE	2	2	1964	1	3	0
FALSE	TRUE	FALSE	TRUE	-1	3	1992	2	1	0
FALSE	TRUE	TRUE	TRUE	2	2	2021	3	1	1
